Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
Baroda Rayon Corpn. Ltd.,Between 1951 and 1971,03-11-1994,BARODARAYN,BARODARY,,02-01-1981,,07-01-2002,30-05-2022,,15471862,,15471862,,100,,67.53,,67.53,,0,,31-03-2020,30-09-2022,,,18.05,3.99,31-03-2021,31-12-2022,7.53,,239.2,-123.66,31-03-2023,31-03-2022,,37.11,22.97,374.59,30-06-2023,31-03-2023,58.44,54.26,272.74,8.17,,,0.46,,,0.46,,,,11.74,,374.59,415.02,,,22.91,,2.09,,225.17,225.17,,,164.85,415.02,,,2.44,,6.66,,7.1,,0.1,398.72,,,,371.38,,0.02,,,1.28,,-85.01,,39.86,46.4,,,1.29,175.65,206.38,19-09-2000,0.68,3.25,10,112.27,31738350,-0.29,10,,-13.84,112.28,,,-10.84,1.56,1.32,,696.12,,,0.58,1.83,162.92,0.06,0
Baron Infotech Ltd.,After 1991,,,BARONINF,,19-06-2000,,12-03-2020,02-09-2020,,1269200,,1059200,210000,100,,12.44,,10.38,,2.06,,31-03-2020,30-09-2022,0.09,0.02,-0.01,-0.78,31-03-2021,31-12-2022,,0.1,-0.01,-0.03,31-03-2023,31-03-2022,0.12,0.03,-0.53,-0.31,30-06-2023,31-03-2023,0.07,,-1.33,-0.08,,0.12,,,,,,,,0.43,,-0.31,1.62,,,10.2,,-9.09,,,,,,0.51,1.62,,,,,,,,,,0.01,,,,,,0.01,,,,,-0.01,,,,,,0.01,0.78,0.8,,0.35,,10,-1.37,,-0.37,,,,-1.37,,,,,,,0.79,,,1.01,0,,,
Bartronics India Ltd.,Between 1986 and 1990,12-01-2006,ASMS,ASMS,18-11-2022,12-01-2006,09-02-2023,22-05-2023,,,274119066,,274119066,,100,,90,,90,,0,,31-03-2020,30-09-2022,68.01,13.73,-51.27,-12.9,31-03-2021,31-12-2022,11.47,63.44,-1,-49.23,31-03-2023,31-03-2022,65.56,12.05,137.7,-50.3,30-06-2023,31-03-2023,52.63,12.07,110.22,0.46,65.57,65.57,0.13,0.13,0.13,0.13,,,116.03,115.97,-50.3,-50.3,1384.66,1714.83,34.05,34.05,32.41,-146.57,2.9,2.9,0,0,1645.47,1494.28,1384.66,1714.83,218.38,23.59,,302.18,137.42,145.55,3.92,,877.04,1318.81,,,3.92,3.92,,,15.33,14.9,3.99,3.96,0.12,0.12,0.02,0.01,15.33,14.9,10.3,312.95,15-09-2023,1.42,10.25,1,-1.09,304576740,0.45,1,-1.55,-1.09,-0.98,-1.55,-1.42,-0.98,,,-1.42,1454.76,,,0.22,248.68,1453.24,0.21,248.42
Basant Agro Tech (India) Ltd.,Between 1986 and 1990,,,BASANTGL,,23-11-1994,,,,,48097928,,48097928,,100,,53.07,,53.07,,0,,31-03-2020,30-09-2022,285.94,115.66,7.85,2.78,31-03-2021,31-12-2022,100.56,322.98,2.62,9.16,31-03-2023,31-03-2022,448.16,131.76,5.88,18.99,30-06-2023,31-03-2023,448.16,151.85,18.99,2,,448.24,0.1,,,0.08,,,,470.47,,18.99,374.95,,,9.06,,144.24,,22.6,19.51,,,199.05,374.95,,,88.41,,0.68,,1.78,,,271.64,,,,181.42,,0.42,,,0.72,,-9.52,,-23.05,32.91,,,1.11,21.8,197.57,,1.07,,1,1.53,,0.35,,,,2.14,,,,14.26,1.14,,270.14,,,0.73,8.48,,,
Bata India Ltd.,Before 1950,03-11-1994,BATAINDIA,BATAINDIA,,05-01-1990,,,,,64465514,,,64465514,100,,50.16,,0,,50.16,,31-03-2020,30-09-2022,3053.45,829.76,326.92,51.11,31-03-2021,31-12-2022,900.21,1707.3,83.11,-90.28,31-03-2023,31-03-2022,2387.72,778.59,65.56,100.89,30-06-2023,31-03-2023,3451.57,958.15,319.12,107.84,3451.57,3451.57,35.21,35.46,35.46,35.21,,,3203.36,3205.9,323,319.12,3288.17,3292.16,64.26,64.26,1373.94,1369.64,1011,1009.81,1009.34,1010.53,842.96,844.46,3288.17,3292.16,1391.85,1389.05,0.5,4.85,148.7,148.69,,,1627.76,1634.01,,,905.16,905.46,3.94,3.94,527.27,519.25,628.82,628.87,438.53,438.46,-1010.51,-1010.53,74.59,74.55,1686.3,21675.21,15-09-2023,0.96,1686.55,5,24.13,128527540,0.13,5,24.06,24.13,47.97,24.06,47.91,47.97,69.88,15.84,47.91,22396.48,69.89,15.84,0.97,26.38,22399.69,0.97,26.38
Batliboi Ltd.,Before 1950,20-12-2006,BATLIBOI,BATLIBOI,,17-06-1986,,,,,21510567,,21510567,,100,,74.28,,74.28,,0,,31-03-2020,30-09-2022,109.3,50.92,-7.53,1.8,31-03-2021,31-12-2022,50.26,94.05,4.64,-5.98,31-03-2023,31-03-2022,146.07,46.37,1.77,-6.64,30-06-2023,31-03-2023,194.85,44.74,8.57,0.88,253.83,194.85,1.37,1.4,0.78,0.77,,,247.53,187.96,10.56,8.57,272.86,309.37,20.73,20.73,121.74,105.43,99.01,93.16,50.68,56.74,67.89,53.54,272.86,309.37,192.54,185.15,0.05,5.63,1.02,1.02,4.84,4.84,57.64,92.34,,,17.51,33.28,0.04,0.04,6.59,3.66,0.94,8.01,-3.03,-2.14,-4.25,-4.96,4.64,1.7,81.61,141.04,20-06-2012,1.12,15.7,5,2.28,28682550,0.46,5,3.82,-1.36,3.39,-1.88,5.29,-0.82,35.86,1.96,0.32,304.23,,0.96,0.78,14.8,93.02,0.48,9.67
Bayer Cropscience Ltd.,Between 1951 and 1971,30-11-1994,BAYERCROP,BAYERCROP,,20-11-1981,,,,,32102999,,14797818,17305181,100,,71.43,,32.93,,38.51,,31-03-2020,30-09-2022,3609.4,1451.9,474.5,162.6,31-03-2021,31-12-2022,1037.9,4261.3,134.5,493.1,31-03-2023,31-03-2022,4734.4,982.5,158.5,645.3,30-06-2023,31-03-2023,5139.7,1739.6,758.2,328.5,820.55,5610,47.5,11.23,0.23,34,,3.05,836.29,5194.5,55.41,758.2,7602.4,954.11,39.5,44.9,294.29,2667.2,,2883.1,36.4,,493.04,2007.2,7602.4,954.11,152.52,436.8,,25.6,,2814.2,,35.2,4126.1,,,247.7,1807.2,,,0.05,,661.4,37.74,609.3,-15.92,83.3,-613.2,-25.97,27.37,860.8,5156.25,23188.32,15-09-2023,0.73,5162.95,10,151.11,44942092,-0.06,10,,151.11,170.66,,,170.66,34.12,7.97,,22586.07,34.17,7.99,1.03,20.53,22616.18,1.03,20.56
Bazel International Ltd.,Between 1972 and 1985,,,BAZELINTER,,05-09-2018,,,,,9000,,9000,,100,,0.46,,0.46,,0,,31-03-2020,30-09-2022,0.78,0.29,0.66,0.08,31-03-2021,31-12-2022,0.54,0.84,0.14,-0.34,31-03-2023,31-03-2022,1.15,0.88,-1.41,0.3,30-06-2023,31-03-2023,1.98,1.37,-1.13,0.86,0.02,,2.02,0.61,0.56,2.02,,,0.68,3.26,-0.05,-1.13,51.54,14.64,1.91,9.09,12.31,41.47,0.35,,,0.33,0.07,0.65,51.54,14.64,0.11,0.26,4.66,,0.5,,0.2,,,9.17,,,,,0.53,0.14,0.01,,,-32.87,,-1.02,33.86,,,0.73,30.59,5.97,,,,10,-2.2,,,,,,-2.1,,,,,0.13,,12.71,,,0.47,0,,,
Beardsell Ltd.,Before 1950,08-01-2010,BEARDSELL,BEARDSELL,,06-11-2015,,,,,22124551,,22124551,,100,,56.1,,56.1,,0,,31-03-2020,30-09-2022,138.95,55.99,1.08,1.56,31-03-2021,31-12-2022,52.92,120.63,2.12,-0.23,31-03-2023,31-03-2022,172.8,59.52,2.99,2.87,30-06-2023,31-03-2023,219.56,53.04,8.39,2.38,186.39,173.17,0.31,0.28,0.18,0.18,,,189.33,175.84,2.81,2.87,127.01,137.94,7.49,7.49,43.17,43.64,12.38,9.32,6.94,8.59,74.9,66.56,127.01,137.94,51.33,32.41,0.53,5.44,1.78,1.72,3.38,3.38,81,77.73,,,15.19,20.06,0.04,0.11,2.44,1.93,8.53,7.02,-1.09,-2.51,-5.96,-7.2,-11.71,-8.34,34.28,136.81,15-09-2023,0.62,35.1,2,2.36,39437000,-0.12,2,2.39,2.36,3.58,2.39,3.91,3.58,14.55,2.04,3.91,155.6,14.9,2.09,0.87,10.9,158.83,0.87,11.13
Bedmutha Industries Ltd.,Between 1986 and 1990,14-10-2010,BEDMUTHA,BEDMUTHA,,14-10-2010,,,,,18405196,17496105,18405196,,100,54.23,57.05,95.06,57.05,95.06,0,,31-03-2020,30-09-2022,359.78,168.24,-71.33,-1.25,31-03-2021,31-12-2022,155.47,388.08,5.27,195.77,31-03-2023,31-03-2022,660.16,191.01,4.1,9.26,30-06-2023,31-03-2023,686.78,191.89,12.62,3.44,660.16,660.16,0.92,0.92,0.58,0.58,,,721.88,721.88,9.26,9.26,510.99,509.78,119.81,119.81,54.25,55.47,126.59,126.59,84.62,84.62,209.13,209.12,510.99,509.78,163,163,4.05,5.27,15.1,15.13,19.51,19.48,270.04,270.05,,,64.46,64.46,0.06,0.06,10.03,10.02,70.8,70.8,-11.26,-11.26,-62.14,-62.14,10.09,10.09,71.96,232.72,15-09-2023,1.06,72.3,10,3.58,32263884,0.65,10,3.76,3.58,12.99,3.76,13.17,12.99,20.1,2.24,13.17,506.27,20.2,2.25,0.46,6.77,507.37,0.46,6.79
Beekay Niryat Ltd.,Between 1972 and 1985,,,BNL,,12-01-2016,,,,,4734567,,4734567,,100,,61.61,,61.61,,0,,31-03-2020,30-09-2022,1.91,2.85,0.41,0.19,31-03-2021,31-12-2022,7.53,,0.36,0.37,31-03-2023,31-03-2022,0.19,7.92,0.24,0.42,30-06-2023,31-03-2023,18.48,6.21,0.97,0.19,0.19,0.19,0.8,0.8,0.8,0.8,,,0.57,0.57,0.42,0.42,21.33,21.59,7.68,7.68,8.94,8.68,,,,,4.97,4.97,21.33,21.59,0.01,0,12.89,12.65,0.19,0.18,,,8.5,8.5,,,,,0.2,0.2,0.02,0.02,5.78,6.04,-5.42,-5.68,-0.15,-0.15,0.22,0.22,65.79,50.55,,-0.1,,10,1.28,,1.4,,4.57,,1.28,,4.57,,51.59,2.89,,50.74,,,1,69.51,,,
Beekay Steel Inds. Ltd.,Between 1972 and 1985,,,BEEKAY,,25-03-2015,,,,,13636164,,13636164,,100,,71.5,,71.5,,0,,31-03-2020,30-09-2022,811.97,258.42,78.14,17.18,31-03-2021,31-12-2022,248.97,874.31,17.03,80.47,31-03-2023,31-03-2022,1296.43,285.84,24.16,156.71,30-06-2023,31-03-2023,1128.42,268.56,109.19,39.6,1295.05,1295.05,15.08,15.09,0.58,0.57,,,1169,1168.99,156.71,156.71,1049.86,1053.37,19.09,19.09,688.05,684.52,172.87,172.89,149.8,149.8,173.36,173.36,1049.86,1053.37,196.95,196.95,22.15,18.7,241.98,241.98,0.67,0.67,568.28,568.34,86.73,86.73,279.66,279.66,0.11,0.11,7.03,6.98,-101.41,-102.41,-30.51,-29.5,107.18,107.18,4.15,4.07,611.9,1167.02,,1.08,,10,51.92,,-0.03,,49.64,,63.81,,63.94,,11.78,1.37,,1357.42,,,0.86,5.61,,,
Beeyu Overseas Ltd.,After 1991,,,BEEYU,,05-07-2005,,20-04-2012,24-04-2014,,3482460,,3482460,,100,,24.63,,24.63,,0,,31-03-2020,30-09-2022,,,0.07,0.01,31-03-2021,31-12-2022,,,0.01,0.02,31-03-2023,31-03-2022,,,0,0.01,30-06-2023,31-03-2023,,,0.01,0,14.8,0.06,0.1,0.02,0.01,0.1,,,25.98,0.15,-17.05,0.01,3.24,23.85,14.15,14.14,-11.37,-13.87,,2.9,,,10.02,0.07,3.24,23.85,21.06,1.05,,,,0.67,,,1.52,,,,,,,,,0.03,-3.19,0.03,4.48,0.02,-0.06,-1.35,0.18,0.03,3.39,4.79,,0.46,,10,0.02,,1.13,,,,0.04,,,,159.8,17.76,,4.76,,,1.01,68.06,,,
Bella Casa Fashion & Retail Ltd.,After 1991,,,BELLACASA,,15-10-2015,,,,,7809962,,7809962,,100,,68.06,,68.06,,0,,31-03-2020,30-09-2022,163.14,65.69,9.13,2.51,31-03-2021,31-12-2022,51.37,128.83,2.32,5.4,31-03-2023,31-03-2022,205.81,40.57,1.38,11.16,30-06-2023,31-03-2023,201.76,46.88,7.76,2.02,,206.56,0.76,,,0.52,,,,199.77,,11.16,166.68,,,11.48,,58.19,,8.27,7.07,,,88.74,166.68,,,16.73,,,,0.42,,0.05,149.17,,,0.44,81.42,,0.06,,,10.9,,-2.85,,-4.41,4.35,,,0.15,156,179.01,,0.35,,10,7.15,,-0.08,,,,8.71,,,,21.83,2.31,,225.73,,,0.79,10.21,,,
Bemco Hydraulics Ltd.,Between 1951 and 1971,,,BEMHY,,10-10-2006,,,,,1633270,,1633270,,100,,74.69,,74.69,,0,,31-03-2020,30-09-2022,32.01,15.54,0.84,3.67,31-03-2021,31-12-2022,9.3,61.87,0.55,4.06,31-03-2023,31-03-2022,62.25,16.14,1.79,5.23,30-06-2023,31-03-2023,46.05,21.28,4.67,2.04,48.73,46.41,0.14,0.14,0.14,0.14,,,56.86,53.97,3.89,4.67,93.77,96.53,5.19,5.19,45.01,47.89,9.46,9.42,0.21,0.21,36.87,31.27,93.77,96.53,43.44,43.13,0.32,0.33,0.57,0.57,,,49.1,51.56,,,25.98,27.85,0.03,0.03,2.57,2.41,-7.09,-7.36,0.7,0.74,-2.18,-2.36,0.26,0.1,726,158.75,,0.66,,10,33.48,,0.51,,30.91,,36.86,,34.39,,21.69,3.05,,166.01,,,0.96,18.45,,,
Benara Bearings & Pistons Ltd.,Between 1986 and 1990,,,BENARA,,03-04-2018,,,,,12379840,,12379840,,100,,69.91,,69.91,,0,,31-03-2019,,116.31,,4.15,,31-03-2020,,,109.79,,0.73,,31-03-2021,41.59,,,-14.54,,31-03-2022,25.93,,-13.97,,25.93,25.93,0.04,0.04,0.04,0.04,,,31.96,31.58,-14.35,-13.97,101.6,102.17,17.71,17.71,12.4,12.92,25.46,24.72,23.01,23.75,46.6,46.25,101.6,102.17,14.91,14.5,0.32,0.27,11.74,17.19,24.11,24.11,33.51,38.77,,,19,19.26,0.02,0.06,0.42,0.41,-0.37,,0.88,,,-0.98,0.48,,17.68,31.31,,0.84,,10,-8.6,,-0.45,,-4.81,,-7.29,,-3.64,,,1.17,,94.9,,,0.33,0,,,
Benares Hotels Ltd.,Between 1951 and 1971,,,BENARAS,,18-08-1981,,,,,813435,,813435,,100,,62.57,,62.57,,0,,31-03-2020,30-09-2022,63.64,17.72,10.61,2.97,31-03-2021,31-12-2022,28.26,24.24,8.29,-5.23,31-03-2023,31-03-2022,49.84,27.5,7.59,5.65,30-06-2023,31-03-2023,93.33,25.47,23.38,6.3,,93.32,1.46,,,1.46,,,,71.44,,23.38,121.89,,,1.3,,98.48,,10.7,3.71,,,11.41,121.89,,,73.13,,,,1.2,,6.53,39.32,,,,1.23,,0.07,,,30.08,,27.81,,-17.13,-1.6,,,9.82,5840.2,759.23,,0.59,,10,193.15,,0.38,,,,239.08,,,,30.24,7.34,,726.39,,,1.05,19.29,,,
Bengal & Assam Co. Ltd.,Before 1950,,,BENGALASM,,17-08-2009,,,,,8207462,,8207462,,100,,72.66,,72.66,,0,,31-03-2020,30-06-2022,176.04,1.66,125.36,-3.06,31-03-2021,30-09-2022,97.51,57.19,75.78,23.26,31-12-2022,31-03-2022,102.86,2.17,-1.9,61.28,31-03-2023,31-03-2023,144.04,42.95,121.85,51.03,16390.72,7.37,144.04,143.89,26,6.2,136,102.1,16248.74,51.41,452.8,121.85,1187.5,17894.84,2061.66,85.27,5502.1,988.91,,,,,4182.98,7.92,1187.5,17894.84,6902.68,0.62,,,,,,,,,,,,,,30.34,,,1437.27,108.19,-650.16,17.61,-125.72,-778.16,184,0.18,5187.8,5860.31,,0.94,,10,88.54,,0.16,,837.82,,89.06,,1248.45,,58.59,6.03,,6027.57,,,0.97,36.56,,,
Bengal Steel Inds. Ltd.,Before 1950,,,BENGALS,,02-03-1987,,02-06-2003,19-08-2018,,3680248,,3680248,,100,,75.11,,75.11,,0,,31-03-2020,30-09-2022,0.36,0.12,0.17,-0.1,31-03-2021,31-12-2022,0.12,0.48,0.04,0.38,31-03-2023,31-03-2022,0.48,0.12,0.23,0.11,30-06-2023,31-03-2023,0.48,0.12,0.19,-0.04,0.48,0.48,0.2,0.2,,,,,0.52,0.52,0.19,0.19,10.33,10.62,4.94,4.9,4.86,4.9,,,,,0.82,0.53,10.33,10.62,4.25,0.34,0.59,4.15,4.25,4.57,,,1.27,1.53,,,,0.16,0.01,0.01,0.1,0.1,-0.37,-0.37,0.44,0.44,,,0.11,0.11,3,,,,,,,,,,,,,,,,0,0,,1.02,,,0,2.76,,,
Bengal Tea & Fabrics Ltd.,Between 1972 and 1985,17-05-1995,BENGALTEA,BENGALT,,10-01-1994,,,,,6608712,,6608712,,100,,73.38,,73.38,,0,,31-03-2020,30-09-2022,110.35,19.65,-1.4,4.75,31-03-2021,31-12-2022,16.66,49.18,-0.2,8.31,31-03-2023,31-03-2022,55.13,3.62,-6.84,39.97,30-06-2023,31-03-2023,49.52,10.4,-1.21,0.81,,50.03,1.96,,,0.96,0.03,,,56.68,,0.22,133.41,,,9.01,,104.34,,5.87,,,,14.19,133.41,,,48.47,,13.52,,10.38,,,55.39,,,27.51,21.15,,0.06,,,1.54,,6.14,,-23.52,4.63,,,1.71,84,41.03,19-05-1998,0.83,8,10,-4.15,8007980,0.18,10,,-0.14,-2.2,,,4.51,,0.67,,55.98,,0.27,1.35,8.28,44.84,0.14,3.43
Bentley Commercial Enterprises Ltd.,Between 1972 and 1985,,,BENTCOM,,29-11-1985,,20-09-2006,27-11-2011,,739150,,739150,,100,,74.21,,74.21,,0,,31-03-2020,30-09-2022,,,0.39,1.31,31-03-2021,31-12-2022,,,0.65,0.3,31-03-2023,31-03-2022,,,-0.01,1.9,30-06-2023,31-03-2023,,,1.91,10.37,,,2.7,,,0.03,2.67,,,0.8,,1.9,116.1,,,1,,115.09,,,,,,0.01,116.1,,,,,114.4,,,,,1.7,,,,,,0.07,,,0.12,,-2.33,,2.39,,,,0.19,4.05,0.4,,,,10,0,,,,,,0,,,,,,,-0.24,,,-1.7,-23.66,,,
Berger Paints India Ltd.,Before 1950,15-05-1995,BERGEPAINT,BERGEPAINT,,04-10-1988,,,,,728493701,,587836919,140656782,100,,74.99,,60.51,,14.48,,31-03-2020,30-09-2022,5691.69,2373.75,699.05,190.68,31-03-2021,31-12-2022,2418.91,6021.41,207.1,680.78,31-03-2023,31-03-2022,7740.93,2189.29,196.21,749.86,30-06-2023,31-03-2023,9470.62,2739.76,828.39,326.32,12312.19,11097.71,45.38,18.12,15.87,10.17,33.96,,11691.37,10545.25,873.57,828.39,9678.7,10370.42,105.28,97.14,4396.98,4198.05,2152.02,1965.85,305.81,342.41,3716.14,3417.66,9678.7,10370.42,3331.57,2740.57,130.15,745.42,1730.78,1638.23,107.59,105.87,4321.84,4906.04,52.96,26.13,2146.1,2319.12,0.59,1.17,243.52,173.88,975.97,934.29,-600.25,-659.14,-284.26,-362.85,116.17,56.87,719.65,69910.85,15-09-2023,0.86,719.7,1,9.43,971422485,0.2,1,9.83,9.43,12.53,9.83,13.29,12.53,76.3,16.22,13.29,70769.04,76.3,16.22,0.99,48.41,70773.9,0.99,48.42
Bervin Investment & Leasing Ltd.,Between 1986 and 1990,,,BERVINL,,05-01-1996,,14-07-2003,11-09-2007,,4338147,,4338147,,100,,73.55,,73.55,,0,,31-03-2020,30-09-2022,,,0.67,0.28,31-03-2021,31-12-2022,,0.08,1.64,3.46,31-03-2023,31-03-2022,1.43,,-20.38,13.71,30-06-2023,31-03-2023,,,-10.03,11.6,5.77,1.43,17.22,10,0.61,0.22,0.78,0.06,8.73,2.24,8.6,15.1,46.82,35.33,6.34,5.9,17.57,32.11,0.1,3.98,3.92,,11.32,4.83,46.82,35.33,0.16,0,17.17,1.47,0.88,1.84,,,43.51,16.17,,38.6,,2.82,,0.01,0.28,0.09,13.17,11.56,1.27,-9.46,-2.2,-14.33,0.29,0.09,38.7,22.83,,0.28,,10,-9.49,,0.55,,,,-9.49,,,,,0.58,,-435.41,,,-0.05,-25.36,,,
Beryl Drugs Ltd.,After 1991,,,BERLDRG,,05-09-1994,,,,,1338135,,1338135,,100,,26.38,,26.38,,0,,31-03-2020,30-09-2022,13.05,7.9,0.05,0.34,31-03-2021,31-12-2022,8.19,14.28,0.14,0.24,31-03-2023,31-03-2022,14.77,6.11,0.06,-0.66,30-06-2023,31-03-2023,27.16,8.17,0.77,0.53,,27.02,0.01,,,0.01,,,,26.08,,0.77,18.55,,,5.09,,2.97,,3.12,2.72,,,7.37,18.55,,,5.81,,0.37,,0.89,,,11.35,,,,1.05,,0.18,,,0.4,,2.37,,-2,-0.36,,,0.28,21.92,11.12,,0.76,,10,2.11,,0.25,,,,3.77,,,,10.39,1.3,,14.99,,,0.74,6.22,,,
Beryl Securities Ltd.,After 1991,,,BERYLSE,,11-04-1996,,,,,2542022,,2451722,90300,100,,52.42,,50.55,,1.86,,31-03-2020,30-09-2022,0.76,0.19,0.35,0.07,31-03-2021,31-12-2022,0.18,0.75,0.08,0.29,31-03-2023,31-03-2022,0.8,0.22,-0.06,0.35,30-06-2023,31-03-2023,0.77,0.2,0.13,-0.03,,,0.77,,,0.77,,,,0.67,,0.13,10.12,,,5.05,,4.49,,,,,,0.58,10.12,,,0.01,,,,,,,,,,,,,0.12,,,,,-0.1,,,,,,0.27,18.06,8.76,,0.26,,10,0.31,,1.04,,,,0.33,,,,58.39,0.94,,8.49,,,1.03,32.65,,,
Best Agrolife Ltd.,After 1991,22-02-2021,BESTAGRO,BESTAGRO,,25-04-2016,,,,,11846632,,11846632,,100,,50.1,,50.1,,0,,31-03-2020,30-09-2022,689.91,579.16,8.26,46.85,31-03-2021,31-12-2022,237.55,905.45,9.2,37.07,31-03-2023,31-03-2022,1134.27,259.8,-32.44,87.07,30-06-2023,31-03-2023,1499.96,612.54,47.08,23.91,1233.69,1154.37,4.57,0.91,0.39,4.05,,,1287.91,1121.64,104.76,87.07,737.9,1022.27,23.64,23.64,306.3,288.66,69.36,9.05,5.23,52.19,622.97,416.55,737.9,1022.27,179.66,21.48,0,101.61,2.85,0.27,,,612.87,834.8,,,202.43,454.57,0.1,0.15,40.14,39.69,-77.62,-18.03,2.97,-79.37,89.68,66.98,12.86,12.76,1161.1,2748.23,26-07-2023,0.38,1163.5,10,20.1,23644740,2.66,10,102.57,20.1,22.47,102.57,113.59,22.47,57.77,7.3,113.59,2869.17,57.89,7.32,0.96,21.36,2874.85,0.96,21.4
Best Eastern Hotels Ltd.,Before 1950,,,BESTEAST,,20-03-1985,,,,,12637441,,12637441,,100,,75,,75,,0,,31-03-2020,30-09-2022,4.3,1.1,-0.35,0.02,31-03-2021,31-12-2022,1.73,2.34,0.12,-0.57,31-03-2023,31-03-2022,4.15,1.17,0.24,-0.21,30-06-2023,31-03-2023,6.04,1.91,0.58,0.2,,6.04,0.01,,,0.01,,,,5.47,,0.58,6.39,,,2.89,,0.87,,0.58,0.25,,,2.05,6.39,,,5.32,,,,0.16,,,0.65,,,,0.2,,0.03,,,0.06,,0.88,,-1.01,0.1,,,0.07,22.64,38.15,,0.49,,1,0.34,,-0.11,,,,0.69,,,,66.93,13.87,,40.35,,,0.95,30.8,,,
Beta Drugs Ltd.,After 1991,12-10-2017,BETA,,,,,,,,6413323,,6413323,0,100,,66.71,,66.71,,0,,31-03-2020,,65.32,,7.1,,31-03-2021,,,79.46,,6.98,,31-03-2022,124.85,,,14.25,,31-03-2023,157.87,,18.81,,183.51,124.55,0.63,0.49,0.45,0.63,,,161.37,110.5,24.63,14.05,115.12,163.85,9.61,9.61,82.73,67.85,16.67,7.59,5.15,11.83,54.84,30.07,115.12,163.85,54.95,34.06,0.78,6.54,4.43,6.88,0.05,0.05,66.99,102.84,,,8.47,22.48,0.14,0.39,16.94,15.45,29.64,18.76,-21.76,-12.72,1.27,-0.98,17.32,15.58,,995.99,15-09-2023,1.13,1036,,,9613790,0.75,10,,19.57,,31.95,,26,,,42.78,,52.95,10.35,,,988.26,1.01,37.92
